ATP,Series,Tournament,Best of,Court,Surface
1,ATP250,Brisbane International,3,Outdoor,Hard
2,ATP250,Chennai Open,3,Outdoor,Hard
3,ATP250,Qatar Exxon Mobil Open,3,Outdoor,Hard
4,ATP250,Heineken Open,3,Outdoor,Hard
5,ATP250,Apia International,3,Outdoor,Hard
6,Grand Slam,Australian Open,5,Outdoor,Hard
7,ATP250,Open Sud de France,3,Indoor,Hard
8,ATP250,Royal Guard Open Chile ,3,Outdoor,Clay
9,ATP250,PBZ Zagreb Indoors,3,Indoor,Hard
10,ATP250,Copa Claro,3,Outdoor,Clay
11,ATP250,U.S. National Indoor Tennis Championships,3,Indoor,Hard
12,ATP500,ABN AMRO World Tennis Tournament,3,Indoor,Hard
13,ATP250,Delray Beach Open,3,Outdoor,Hard
14,ATP250,Open 13,3,Indoor,Hard
15,ATP500,Rio Open,3,Outdoor,Clay
16,ATP500,Abierto Mexicano,3,Outdoor,Hard
17,ATP500,Dubai Tennis Championships,3,Outdoor,Hard
18,ATP250,Brasil Open,3,Indoor,Clay
19,Masters 1000,BNP Paribas Open,3,Outdoor,Hard
20,Masters 1000,Sony Ericsson Open,3,Outdoor,Hard
21,ATP250,Grand Prix Hassan II,3,Outdoor,Clay
22,ATP250,U.S. Men's Clay Court Championships,3,Outdoor,Clay
23,Masters 1000,Monte Carlo Masters,3,Outdoor,Clay
24,ATP500,Open Banco Sabadell ,3,Outdoor,Clay
25,ATP250,BRD Nastase Tiriac Trophy,3,Outdoor,Clay
26,ATP250,BMW Open,3,Outdoor,Clay
27,ATP250,Portugal Open,3,Outdoor,Clay
28,Masters 1000,Mutua Madrid Open,3,Outdoor,Clay
29,Masters 1000,Internazionali BNL d'Italia,3,Outdoor,Clay
30,ATP250,Dusseldorf Open,3,Outdoor,Clay
31,ATP250,Open de Nice Côte d’Azur,3,Outdoor,Clay
32,Grand Slam,French Open,5,Outdoor,Clay
33,ATP250,Gerry Weber Open,3,Outdoor,Grass
34,ATP250,AEGON Championships,3,Outdoor,Grass
35,ATP250,AEGON International,3,Outdoor,Grass
36,ATP250,Topshelf Open,3,Outdoor,Grass
37,Grand Slam,Wimbledon,5,Outdoor,Grass
38,ATP250,SkiStar Swedish Open,3,Outdoor,Clay
39,ATP250,Hall of Fame Championships,3,Outdoor,Grass
40,ATP250,Mercedes Cup,3,Outdoor,Clay
41,ATP250,Claro Open Colombia,3,Outdoor,Clay
42,ATP500,bet-at-home Open,3,Outdoor,Clay
43,ATP250,BB&T Atlanta Open,3,Outdoor,Hard
44,ATP250,Crédit Agricole Suisse Open Gstaad,3,Outdoor,Clay
45,ATP250,ATP Vegeta Croatia Open,3,Outdoor,Clay
46,ATP250,Bet-At-Home Cup,3,Outdoor,Clay
47,ATP500,Citi Open,3,Outdoor,Hard
48,Masters 1000,Rogers Masters,3,Outdoor,Hard
49,Masters 1000,Western & Southern Financial Group Masters,3,Outdoor,Hard
50,ATP250,Winston-Salem Open at Wake Forest University,3,Outdoor,Hard
51,Grand Slam,US Open,5,Outdoor,Hard
52,ATP250,Open de Moselle,3,Indoor,Hard
53,ATP250,Malaysian Open,3,Indoor,Hard
54,ATP250,Shenzhen Open,3,Outdoor,Hard
55,ATP500,China Open,3,Outdoor,Hard
56,ATP500,Rakuten Japan Open Tennis Championships,3,Outdoor,Hard
57,Masters 1000,Shanghai Masters,3,Outdoor,Hard
58,ATP250,Kremlin Cup,3,Indoor,Hard
59,ATP250,Stockholm Open,3,Indoor,Hard
60,ATP250,Erste Bank Open,3,Indoor,Hard
61,ATP500,Swiss Indoors,3,Indoor,Hard
62,ATP500,Valencia Open 500,3,Indoor,Hard
63,Masters 1000,BNP Paribas Masters,3,Indoor,Hard
64,Masters Cup,Masters Cup,3,Indoor,Hard
8,ATP250,Ecuador Open,3,Outdoor,Clay
10,ATP250,Memphis Open,3,Indoor,Hard
17,ATP250,Argentina Open,3,Outdoor,Clay
26,ATP250,Millenium Estoril Open,3,Outdoor,Clay
27,ATP250,Istanbul Open,3,Outdoor,Clay
31,ATP250,Geneva Open,3,Outdoor,Clay
38,ATP500,AEGON Open,3,Outdoor,Grass
43,ATP250,Konzum Croatia Open,3,Outdoor,Clay
45,ATP250,Suisse Open Gstaad,3,Outdoor,Clay
47,ATP250,Generali Open,3,Outdoor,Clay
54,ATP250,St. Petersburg Open,3,Indoor,Hard
4,ATP250,ASB Classic,3,Outdoor,Hard
9,ATP250,Garanti Koza Sofia Open,3,Indoor,Hard
41,ATP500,German Tennis Championships,3,Outdoor,Clay
49,ATP250,Abierto Mexicano Mifel,3,Outdoor,Hard
55,ATP250,Chengdu Open,3,Outdoor,Hard
60,ATP250,European Open,3,Indoor,Hard
25,ATP250,Gazprom Hungarian Open,3,Outdoor,Clay
32,ATP250,Lyon Open,3,Outdoor,Clay
34,ATP250,Ricoh Open,3,Outdoor,Grass
38,ATP250,Antalya Open,3,Outdoor,Grass
43,ATP250,Croatia Open,3,Outdoor,Clay
66,ATP250,Pune,3,Outdoor,Hard
